customer_id,source,handle,followers,verified,timestamp,sentiment,tweet_text,theme,severity,likes,retweets,reply_count,strategic_goal
TW-024,Twitter (X),@trader_1l0vdp6o,127008,False,2025-05-20T01:32:00,negative,Support replies feel canned—need a human on escalations.,Support Experience,0.73,33,79,45,CX Efficiency
TW-025,Twitter (X),@trader_e45bg34i,119665,True,2025-05-17T22:12:00,negative,Support replies feel canned—need a human on escalations.,Support Experience,0.32,421,118,32,CX Efficiency
TW-026,Twitter (X),@trader_yirq8rtm,67816,False,2025-08-09T02:18:00,negative,Execution looked worse than my benchmark—need clarity on spread.,Trading/Execution & Fees,0.12,25,41,36,Growth
TW-027,Twitter (X),@trader_yjoa21a6,45413,False,2025-02-16T07:16:00,negative,App stalled right when volatility hit. Brutal.,Support Experience,0.59,482,78,45,CX Efficiency
TW-028,Twitter (X),@trader_64qhkswv,1936,False,2025-08-02T11:35:00,negative,Support replies feel canned—need a human on escalations.,Support Experience,0.62,311,72,19,CX Efficiency
TW-029,Twitter (X),@trader_c9x5jz6k,39313,False,2025-04-16T01:51:00,negative,Support replies feel canned—need a human on escalations.,Support Experience,0.79,414,153,25,CX Efficiency
TW-030,Twitter (X),@trader_x9jpnbzu,49795,False,2025-04-11T21:34:00,negative,App stalled right when volatility hit. Brutal.,Onboarding/KYC & Account Holds,0.61,243,171,22,Compliance
TW-031,Twitter (X),@trader_445gdej3,48000,False,2025-05-10T20:05:00,negative,Why is withdrawal still pending after KYC refresh?,Onboarding/KYC & Account Holds,0.28,114,190,19,Compliance
TW-032,Twitter (X),@trader_nvqebwuw,123799,True,2025-06-22T03:55:00,negative,Why is withdrawal still pending after KYC refresh?,Onboarding/KYC & Account Holds,0.64,271,76,26,Compliance
TW-033,Twitter (X),@trader_9m969f5g,21194,False,2025-05-10T20:11:00,negative,App stalled right when volatility hit. Brutal.,Trading/Execution & Fees,0.35,29,1,28,Growth
TW-034,Twitter (X),@trader_uf22eppp,125157,False,2025-02-15T01:34:00,neutral,"Limit orders only for now, seeing how it behaves.",Trading/Execution & Fees,0.26,191,3,20,Growth
TW-035,Twitter (X),@trader_ywiymenv,43793,True,2025-02-25T09:18:00,neutral,"Limit orders only for now, seeing how it behaves.",Onboarding/KYC & Account Holds,0.46,266,152,33,Compliance
TW-036,Twitter (X),@trader_m6mg87oi,34404,True,2025-02-19T18:32:00,neutral,Saw incident on status page; will retry later.,Trading/Execution & Fees,0.24,187,182,41,Growth
TW-037,Twitter (X),@trader_1wvbd4be,116484,False,2025-03-17T17:16:00,neutral,Saw incident on status page; will retry later.,Wallet & On-chain UX,0.48,78,52,44,Onchain Adoption
TW-038,Twitter (X),@trader_xxjve3dz,30873,False,2025-03-15T03:31:00,neutral,New listing announced; watching volume.,Product Availability by Region,0.26,102,199,16,Growth
TW-039,Twitter (X),@trader_zkbrh7la,23341,True,2025-07-10T21:31:00,neutral,"Limit orders only for now, seeing how it behaves.","Security, Fraud & Phishing",0.22,46,199,32,Trust&Safety
TW-040,Twitter (X),@trader_xq9jb354,94438,False,2025-05-05T13:47:00,neutral,Testing Advanced today; moving from Pro.,Wallet & On-chain UX,0.19,435,194,2,Onchain Adoption
TW-041,Twitter (X),@trader_l68j0nme,104933,False,2025-04-24T12:44:00,neutral,"Limit orders only for now, seeing how it behaves.",Trading/Execution & Fees,0.78,409,107,41,Growth
TW-042,Twitter (X),@trader_zc7fov2y,47526,False,2025-05-22T11:39:00,neutral,Testing Advanced today; moving from Pro.,Trading/Execution & Fees,0.12,350,186,8,Growth
TW-043,Twitter (X),@trader_5pcxa5s0,148124,True,2025-08-04T10:33:00,neutral,Saw incident on status page; will retry later.,"Payments, Deposits & Withdrawals",0.52,358,158,6,CX Efficiency
TW-044,Twitter (X),@trader_myn4u9bx,41147,False,2025-06-14T15:55:00,neutral,"Limit orders only for now, seeing how it behaves.",Tax Docs & Reporting,0.23,384,125,20,Compliance
TW-045,Twitter (X),@trader_bixoiq2q,130677,False,2025-05-05T03:31:00,neutral,New listing announced; watching volume.,Wallet & On-chain UX,0.7,9,26,25,Onchain Adoption
TW-046,Twitter (X),@trader_t328w6ux,119602,False,2025-05-18T01:52:00,neutral,Testing Advanced today; moving from Pro.,Performance/Outages,0.28,232,84,35,Trust&Safety
TW-047,Twitter (X),@trader_rxze1hm3,76551,False,2025-06-27T11:44:00,neutral,Comparing fees vs. my other venue tonight.,Trading/Execution & Fees,0.19,459,42,31,Growth
TW-048,Twitter (X),@trader_jhe4h3gm,108660,True,2025-07-26T21:37:00,neutral,Saw incident on status page; will retry later.,"Payments, Deposits & Withdrawals",0.2,456,115,29,CX Efficiency
TW-049,Twitter (X),@trader_ertb74rs,46462,False,2025-07-12T05:46:00,neutral,Comparing fees vs. my other venue tonight.,Trading/Execution & Fees,0.75,53,99,42,Growth
TW-050,Twitter (X),@trader_5sn961j8,77125,False,2025-03-20T04:26:00,neutral,Comparing fees vs. my other venue tonight.,Trading/Execution & Fees,0.58,453,191,32,Growth
